id,date,lat,lon,depth,mag,location
c49483b7-15d0-4662-b31d-61af34ad5ab1,2026-08-20T03:03:25,40.7797,29.0817,8,1.6,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
04748754-58bb-4712-afb4-f1fa26dd2d15,2026-08-20T03:28:11,40.7932,29.1033,9.1,1.4,ADALAR (ISTANBUL)
c27dcffe-846b-4e3b-9462-c2c0e8634c87,2026-08-20T03:32:52,40.7897,29.0877,11.4,1.5,ADALAR (ISTANBUL)
928322d6-eba8-49ee-9564-11988ea9042f,2026-08-20T03:33:33,40.7772,29.1003,10.2,2.7,ADALAR (ISTANBUL)
cdbb247a-633a-41d9-aa22-4481194d45e1,2026-08-20T03:33:50,40.7945,29.118,4.7,1.5,ADALAR (ISTANBUL)
c6c76473-b99f-4e93-af7d-f1fbf6137c0a,2026-08-20T03:35:45,40.7845,29.0995,10.3,1.5,ADALAR (ISTANBUL)
f646270c-25ff-4f99-8e7e-e6c9f720ef52,2026-08-20T03:36:16,40.7838,29.0793,8.1,1.5,ADALAR (ISTANBUL)
43d95a26-e783-4005-adb7-d77a6e2bcbe7,2026-08-20T03:38:41,40.7857,29.085,11,1.6,ADALAR (ISTANBUL)
b995c1b7-d879-41c6-ae9c-52eec5ec6c2e,2026-08-20T03:40:00,40.7735,29.1028,8.6,1.9,ADALAR (ISTANBUL)
b236b81b-1fac-4c18-8ea8-5cc4ec38b8da,2026-08-20T03:41:43,40.7757,29.099,7.6,1.5,ADALAR (ISTANBUL)
e1350628-cf16-43c5-b4c7-9100d8bf6c28,2026-08-20T03:42:14,40.7933,29.1002,11,1.6,ADALAR (ISTANBUL)
86d53511-8b43-494d-809a-8304ab739be8,2026-08-20T03:44:21,40.782,29.116,11.9,1.5,ADALAR (ISTANBUL)
40c9171e-469b-4bf0-8325-4c1233ce5c8a,2026-08-20T03:45:39,40.7738,29.0957,8.9,2.5,ADALAR (ISTANBUL)
fbd8e358-69f5-4757-8c34-57342b8b427c,2026-08-20T04:31:38,40.7802,29.0938,10.5,2.8,ADALAR (ISTANBUL)
91c23bd3-ab61-4e47-8301-76d17d9bed90,2026-08-20T04:25:54,40.7813,29.1035,10.9,1.6,ADALAR (ISTANBUL)
cb94783d-4904-4b99-852b-f8cb15b59ca4,2026-08-20T04:24:12,40.779,29.089,9,1.6,ADALAR (ISTANBUL)
e4c921a8-70b0-40d7-97f5-d388038ee288,2026-08-20T04:22:08,40.7823,29.093,9.2,1.5,ADALAR (ISTANBUL)
04a5cb54-1cba-474b-9a2f-7770396a430e,2026-08-20T04:43:55,40.7732,29.1128,8.3,1.6,ADALAR (ISTANBUL)
e93ff484-13f7-4394-b7cb-45675489dd27,2026-08-20T04:42:09,40.7807,29.1018,7.1,1.4,ADALAR (ISTANBUL)
5ec7a4d9-4803-43c5-a4bf-0ecacf9daa40,2026-08-20T05:01:22,40.7807,29.0677,7.5,1.7,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
79fcd5d3-77bf-4d27-866b-b9c2c96fabaf,2026-08-20T04:54:35,40.7738,29.1173,10.4,1.2,ADALAR (ISTANBUL)
5eca01de-47bb-478d-bc9c-86080febdcb1,2026-08-20T04:43:17,40.8082,29.175,5,1.7,ADALAR (ISTANBUL)
2681b89f-2450-482e-8db5-85acdd146feb,2026-08-20T05:40:34,40.7795,29.1053,11.5,2.9,ADALAR (ISTANBUL)
b8e64824-4637-493f-b77e-83c72b0aae0a,2026-08-20T05:45:14,40.785,29.1072,9.5,1.7,ADALAR (ISTANBUL)
6e6992bb-7638-4a68-a770-6ffe71c8aede,2026-08-20T05:50:28,40.7807,29.0972,9.6,1.5,ADALAR (ISTANBUL)
f513dc98-0de7-41f1-86d5-e9833e314b83,2026-08-20T05:55:21,40.7875,29.1083,10.3,1.1,ADALAR (ISTANBUL)
cebb2f24-b998-47d1-a867-770754bc1e04,2026-08-20T05:56:54,40.7717,29.0878,8.9,1.1,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
31eb93f9-09af-4bd7-bd11-3db3f11fc44e,2026-08-20T06:19:50,40.7832,29.086,9.4,2,ADALAR (ISTANBUL)
559aadb3-8b04-4640-a843-04c750009adb,2026-08-20T07:18:08,40.7728,29.082,5.4,2.5,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
2c626588-53aa-4707-b291-b954df77072e,2026-08-20T07:26:06,40.7692,29.1483,5.4,1,YALOVA ACIKLARI (MARMARA DENIZI)
deec532f-3539-44b8-98a7-e31cb18938cc,2026-08-20T07:38:22,40.7847,29.0983,12.3,1.7,ADALAR (ISTANBUL)
7d8517b7-2f82-4e2c-a910-9eb8b4535240,2026-08-20T07:57:58,40.7878,29.0392,7.8,1,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
7305cc7f-f00c-4926-a057-0f52c2e670f6,2026-08-20T08:14:33,40.7772,29.0973,10.2,1.7,ADALAR (ISTANBUL)
